epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.352,1.58847,3.38366,1.35813,0.01111,1,0.73678,0.50586,1.06736,2.52023,1.04037,0.00034,0.00034,0.00034
2,390.112,1.51972,2.17228,1.20714,0.01056,0.95,0.67057,0.25556,1.38076,2.87223,1.42474,0.00068614,0.00068614,0.00068614
3,568.847,1.54259,1.98363,1.24328,0.3443,0.55,0.46657,0.27401,1.29435,2.70222,1.4907,0.00101802,0.00101802,0.00101802
4,755.048,1.55411,1.89649,1.27972,0.4698,0.1349,0.38696,0.15209,1.64265,2.7153,1.7479,0.00133565,0.00133565,0.00133565
5,921.561,1.60482,1.81325,1.31953,0.24651,0.2,0.26236,0.13128,1.84907,2.77048,1.82093,0.00163902,0.00163902,0.00163902
6,1104.53,1.60183,1.75686,1.29661,0.30475,0.5,0.40109,0.2198,1.86161,3.05928,1.65859,0.001802,0.001802,0.001802
7,1281.06,1.59016,1.69522,1.27541,0.66779,0.65,0.68873,0.36299,1.69816,1.90398,1.84117,0.0017624,0.0017624,0.0017624
8,1474.22,1.62116,1.61253,1.31532,0.79868,0.85,0.82566,0.4943,1.52901,1.21577,1.7272,0.0017228,0.0017228,0.0017228
9,1649,1.52928,1.49999,1.33096,0.52461,0.75,0.57999,0.31172,1.69032,1.5808,1.83152,0.0016832,0.0016832,0.0016832
10,1821.29,1.54236,1.48578,1.31075,0.75619,0.776,0.80627,0.50226,1.3519,1.25418,1.58921,0.0016436,0.0016436,0.0016436
11,2007.86,1.56698,1.38386,1.26932,0.84117,0.85,0.86755,0.50717,1.40306,1.29505,1.60915,0.001604,0.001604,0.001604
12,2181.08,1.54025,1.35229,1.25703,0.40556,0.9,0.61791,0.27554,1.85788,1.67886,1.86296,0.0015644,0.0015644,0.0015644
13,2366.58,1.50755,1.2433,1.24713,0.94022,0.78695,0.84878,0.50833,1.40801,1.97176,1.75837,0.0015248,0.0015248,0.0015248
14,2556.65,1.50027,1.22201,1.24361,0.75953,0.79002,0.8321,0.52102,1.41153,1.25207,1.7506,0.0014852,0.0014852,0.0014852
15,2762.01,1.43723,1.169,1.26069,0.92826,0.55,0.77306,0.47293,1.58685,1.73964,1.85518,0.0014456,0.0014456,0.0014456
16,42588.1,1.48002,1.24994,1.22483,0.56063,0.5,0.4624,0.22004,1.35237,1.98857,1.55223,0.001406,0.001406,0.001406
17,42731.2,1.51291,1.13704,1.28301,0.80781,0.85,0.88662,0.58647,1.2252,1.06615,1.56129,0.0013664,0.0013664,0.0013664
18,42861.1,1.46943,1.07305,1.21106,0.89814,0.88229,0.92703,0.55277,1.42046,0.90914,1.58634,0.0013268,0.0013268,0.0013268
19,43274,1.36924,1.06506,1.21732,0.74733,0.88773,0.85351,0.46888,1.49288,0.97689,1.63883,0.0012872,0.0012872,0.0012872
20,43418,1.45829,1.0259,1.22196,0.82538,0.70945,0.85622,0.55219,1.30284,1.09053,1.4812,0.0012476,0.0012476,0.0012476
21,43568.6,1.46389,1.02164,1.21018,0.8957,0.9,0.92869,0.57152,1.43505,0.90681,1.58001,0.001208,0.001208,0.001208
22,43710.9,1.37074,1.03694,1.18422,0.88306,0.9,0.94039,0.52885,1.49055,0.95212,1.64431,0.0011684,0.0011684,0.0011684
23,43843.3,1.43491,1.07228,1.22441,0.92638,0.9,0.95229,0.53177,1.59435,0.8695,1.63287,0.0011288,0.0011288,0.0011288
24,43973.9,1.33954,0.98886,1.16993,0.87231,0.7,0.85593,0.52614,1.39029,1.19731,1.54017,0.0010892,0.0010892,0.0010892
25,44135.1,1.34152,0.94061,1.17156,0.90202,0.9212,0.95655,0.57291,1.49347,0.84761,1.65987,0.0010496,0.0010496,0.0010496
26,44284.4,1.34276,0.91607,1.14642,0.91785,0.8,0.94058,0.62302,1.30046,0.90723,1.47951,0.00101,0.00101,0.00101
27,44493,1.34807,0.92618,1.15634,0.86202,0.85,0.90221,0.52087,1.46847,1.22577,1.54524,0.0009704,0.0009704,0.0009704
28,44715.9,1.29355,0.9213,1.12875,0.76433,0.85,0.84621,0.55227,1.29248,1.10551,1.53909,0.0009308,0.0009308,0.0009308
29,44889.1,1.32068,0.90552,1.18057,0.85752,0.85,0.89867,0.58325,1.34018,1.00526,1.47139,0.0008912,0.0008912,0.0008912
30,45063.9,1.25879,0.86304,1.12244,0.79999,0.9,0.91901,0.51845,1.57473,1.12415,1.57669,0.0008516,0.0008516,0.0008516
31,45262,1.27336,0.82736,1.1274,0.81192,0.64768,0.81207,0.56295,1.26867,1.41652,1.39406,0.000812,0.000812,0.000812
32,45469.6,1.2111,0.79051,1.09669,0.86864,0.6,0.69423,0.45571,1.38115,1.4816,1.51753,0.0007724,0.0007724,0.0007724
33,45685.6,1.23856,0.81069,1.09692,0.83235,0.745,0.85319,0.56638,1.30106,1.13931,1.51024,0.0007328,0.0007328,0.0007328
34,45856.3,1.19819,0.77483,1.09019,0.73856,0.8,0.85911,0.58279,1.28472,1.20033,1.43346,0.0006932,0.0006932,0.0006932
35,46069.7,1.20238,0.74685,1.08925,0.85325,0.85,0.92227,0.52854,1.5366,1.05005,1.4986,0.0006536,0.0006536,0.0006536
36,46313.8,1.22067,0.77128,1.10545,0.75785,0.9,0.91923,0.59297,1.20125,0.97598,1.39614,0.000614,0.000614,0.000614
37,46533.4,1.16974,0.73623,1.06669,0.77076,0.75,0.86904,0.57717,1.20768,1.164,1.35261,0.0005744,0.0005744,0.0005744
38,46769.2,1.22531,0.75137,1.1033,0.78567,0.7,0.88943,0.59561,1.1951,1.16314,1.31979,0.0005348,0.0005348,0.0005348
39,47107.5,1.13033,0.72811,1.07425,0.78928,0.93681,0.92076,0.61216,1.23105,0.87415,1.39291,0.0004952,0.0004952,0.0004952
40,47423.9,1.13356,0.72147,1.0532,0.7466,0.85,0.90057,0.5966,1.14798,1.00664,1.30108,0.0004556,0.0004556,0.0004556
41,47667.5,1.11836,0.73095,1.03526,0.97424,0.6,0.84034,0.56555,1.21275,1.35712,1.32338,0.000416,0.000416,0.000416
42,47847.6,1.10947,0.70746,1.04632,0.92757,0.64087,0.84861,0.59583,1.1911,1.27251,1.35923,0.0003764,0.0003764,0.0003764
43,48021.9,1.06713,0.67475,1.02706,0.85437,0.95,0.94505,0.67265,1.10775,0.87745,1.3044,0.0003368,0.0003368,0.0003368
44,48184.3,1.0626,0.67545,1.03581,0.85225,0.9,0.94171,0.65604,1.17801,0.78316,1.29781,0.0002972,0.0002972,0.0002972
45,48463.2,1.04201,0.63142,1.03124,0.83559,0.95,0.96929,0.727,1.08284,0.73303,1.25875,0.0002576,0.0002576,0.0002576
46,48683.9,1.04527,0.62388,1.04074,0.9783,0.9,0.9763,0.6752,1.12904,0.7503,1.28165,0.000218,0.000218,0.000218
47,49048.1,1.02411,0.62633,1.02199,0.93447,0.9,0.97722,0.6662,1.19014,0.7858,1.29801,0.0001784,0.0001784,0.0001784
48,49247.4,1.01724,0.64688,1.00558,0.93981,0.9,0.97195,0.68449,1.11205,0.78233,1.25184,0.0001388,0.0001388,0.0001388
49,49420.2,0.94836,0.62534,0.98212,0.89239,0.9,0.9614,0.6739,1.066,0.83719,1.22808,9.92e-05,9.92e-05,9.92e-05
